track_set	cell_type	condition	cells	peak_matrix_counts	normalization	scale_factor	bin_size	file	cut_sites	bytes	sha256	bigwig_chromosomes
population	Macrophage	P1+3 dps	110	1482870	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	2751429.5	10	wang2020_macrophage_p1_sham_psd3.bw	3503850	35395321	81d04497cef7ee0b740e882d6dbafac903eb60c5e24878cbd0ba4b6e06f09484	22
population	Macrophage	P8+3 dpi	337	3317209	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	2751429.5	10	wang2020_macrophage_p8_mi_psd3.bw	8548724	72780994	8a5a0aad54e5a742cdbf6417e0bf6c9f6789207b5b3174de9045af1f33ba5e61	22
population	Macrophage	P8+3 dps	206	2185650	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	2751429.5	10	wang2020_macrophage_p8_sham_psd3.bw	5108590	46411555	b1d67d6873f72034344109eda3bb1a19ec73b7cefc66ee6131a40a39c6285f4a	22
population	Lymphocyte	P1+3 dpi	70	660861	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	602998.5	10	wang2020_lymphocyte_p1_mi_psd3.bw	1499328	17806477	bf67fddc3d91dfb7c7a4f8080da725e0fa7949204f4ec5dae44a6f807146d3f1	22
population	Lymphocyte	P1+3 dps	59	647608	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	602998.5	10	wang2020_lymphocyte_p1_sham_psd3.bw	1447472	17099437	247f494f1f9a1233b3c210aefacedbaeb1ddd12df4c704d36dc205659c6fc592	22
population	Lymphocyte	P8+3 dpi	65	558389	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	602998.5	10	wang2020_lymphocyte_p8_mi_psd3.bw	1391920	17647818	4db15df35b29e789b7b8ada6ad0f1e89b527098a480b52adffc383ac90929382	22
population	Lymphocyte	P8+3 dps	51	500021	Tn5 cut sites * cell-type median group depth / group peak-matrix counts; 100-bp centered mean	602998.5	10	wang2020_lymphocyte_p8_sham_psd3.bw	1032226	12905283	b3c21763b7b8b02841a13a73288213e395b7c47b7164458bb1e021876e4404be	22
all_cells	All	P1+3 dpi	7273	97861135	Tn5 cut sites * all-cell median condition depth / condition peak-matrix counts; 100-bp centered mean	98273968.0	10	wang2020_p1_mi_psd3.bw	229661694	722960522	140559760c473007d7a71df00382580452affec2a45cbb97d32aa6c43695b358	22
all_cells	All	P1+3 dps	7374	98686801	Tn5 cut sites * all-cell median condition depth / condition peak-matrix counts; 100-bp centered mean	98273968.0	10	wang2020_p1_sham_psd3.bw	217720964	697238269	bc51b358a4f283e1fcfa2e529780881c8d349e6cb9463735c12c6679513e2c6e	22
all_cells	All	P8+3 dpi	6697	80348019	Tn5 cut sites * all-cell median condition depth / condition peak-matrix counts; 100-bp centered mean	98273968.0	10	wang2020_p8_mi_psd3.bw	181823076	628879712	7b12919ab6c2ccbacbaab95e78bdb954a5bd41bb147a29a88c9e1b986b8973b0	22
all_cells	All	P8+3 dps	9176	117980139	Tn5 cut sites * all-cell median condition depth / condition peak-matrix counts; 100-bp centered mean	98273968.0	10	wang2020_p8_sham_psd3.bw	237609362	686950525	0765114dda4374d8fece893da4cde8d8944b9055572d6635549756e3e1fa91cd	22
