"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pcbd1",0.00148221717410315,2.06313557718716,0.036,0.022,1,"CM4","Pcbd1"
"Fcer1g",0.00149506191057236,2.01971085422987,0.042,0.027,1,"CM4","Fcer1g"
"Ccdc12",0.00150114612964341,0.755750072024979,0.157,0.21,1,"CM4","Ccdc12"
"Cep104",0.00151684941922804,0.532710008377859,0.043,0.066,1,"CM4","Cep104"
"Naxd",0.00151999809530866,0.6573690026187,0.062,0.089,1,"CM4","Naxd"
"Cep411",0.00153494102642908,0.314408711026267,0.015,0.028,1,"CM4","Cep41"
"Bub31",0.00154480490462742,1.51863656798825,0.147,0.128,1,"CM4","Bub3"
"Dync1i2",0.00154568216227263,1.11208065947563,0.329,0.359,1,"CM4","Dync1i2"
"Nkain4",0.00154812336218767,2.55117753074492,0.018,0.009,1,"CM4","Nkain4"
"Arl4c",0.00155300165940553,1.6645831721071,0.055,0.038,1,"CM4","Arl4c"
"Stfa1",0.00156211775149095,1.84199554504337,0.046,0.031,1,"CM4","Stfa1"
"Cyren",0.00156418310499344,0.393170528917515,0.024,0.042,1,"CM4","Cyren"
"Wdr45b",0.00156628861063568,0.70984002483813,0.142,0.188,1,"CM4","Wdr45b"
"Glod4",0.00157045891787312,1.54433396074591,0.119,0.099,1,"CM4","Glod4"
"Rala",0.00157145432745548,0.623969988142638,0.199,0.266,1,"CM4","Rala"
"Mex3b",0.00158418842990384,2.17492448518294,0.023,0.012,1,"CM4","Mex3b"
"Isg20l2",0.00158792733819869,0.443333718889719,0.029,0.048,1,"CM4","Isg20l2"
"Flt4",0.00160333845050671,2.07035181255991,0.018,0.009,1,"CM4","Flt4"
"Vars",0.00161629819190048,1.86563391555492,0.051,0.035,1,"CM4","Vars"
"Tmem234",0.00162037885816807,0.75579714530746,0.139,0.186,1,"CM4","Tmem234"
"Tmem158",0.00162939135028808,2.27214947933733,0.02,0.011,1,"CM4","Tmem158"
"Egfr",0.00163019962750781,1.7355750398286,0.023,0.012,1,"CM4","Egfr"
"Tbpl1",0.00163837248463613,0.546449835233473,0.036,0.056,1,"CM4","Tbpl1"
"Gpr182",0.00164157558887917,2.29506787869776,0.017,0.009,1,"CM4","Gpr182"
"Atf3",0.00166051834788066,0.301319969560604,0.015,0.029,1,"CM4","Atf3"
"Borcs7",0.00166747028111106,0.850639884752544,0.059,0.085,1,"CM4","Borcs7"
"Tcea3",0.00170075214747017,0.846944178132325,0.104,0.142,1,"CM4","Tcea3"
"Ssb",0.00170268003477711,1.36759728957076,0.242,0.241,1,"CM4","Ssb"
"Lyrm9",0.00170342808526613,0.541473739291235,0.056,0.081,1,"CM4","Lyrm9"
"Nr0b21",0.00170342881954242,0.152681302609228,0.025,0.042,1,"CM4","Nr0b2"
"Rnps1",0.00170744456335121,0.740196768405012,0.154,0.207,1,"CM4","Rnps1"
"Lrrc451",0.00170872725343596,0.29704220721309,0.009,0.021,1,"CM4","Lrrc45"
"Asna1",0.00170899380738213,1.5443502320705,0.091,0.072,1,"CM4","Asna1"
"Mrps11",0.0017167980890492,1.71966706833238,0.063,0.046,1,"CM4","Mrps11"
"Zfp335",0.00172198351645692,0.271788436493565,0.019,0.035,1,"CM4","Zfp335"
"Nfyb",0.00172268489279852,0.666869674176351,0.058,0.083,1,"CM4","Nfyb"
"Dnajc2",0.00177038038071351,1.3877063809946,0.086,0.066,1,"CM4","Dnajc2"
"Srrt1",0.00177440754948782,0.752742288697616,0.091,0.124,1,"CM4","Srrt"
"Pdlim11",0.00177494960530789,0.566628992745533,0.257,0.346,1,"CM4","Pdlim1"
"Rab3il1",0.00177641486399844,2.30280083919497,0.022,0.012,1,"CM4","Rab3il1"
"Rnf6",0.00177941039289522,0.732387165538094,0.087,0.12,1,"CM4","Rnf6"
"Cops5",0.00178116006282261,0.784249499025803,0.183,0.246,1,"CM4","Cops5"
"Chmp6",0.00179444286383156,1.78993015097598,0.041,0.027,1,"CM4","Chmp6"
"Tmem199",0.00180181738194047,0.457304947775661,0.027,0.044,1,"CM4","Tmem199"
"Slc12a8",0.00180370925322351,0.209200004861393,0.003,0.011,1,"CM4","Slc12a8"
"Rad51ap11",0.00180512145680942,0.465325429229527,0.029,0.047,1,"CM4","Rad51ap1"
"Ctss",0.00181102632015721,2.09516338092717,0.027,0.015,1,"CM4","Ctss"
"Asb12",0.0018117114216692,0.465922430599604,0.017,0.031,1,"CM4","Asb1"
"Pnkp1",0.00181709986364993,0.474805020113699,0.029,0.047,1,"CM4","Pnkp"
"Srgn",0.00182589007667205,1.85534999758352,0.037,0.023,1,"CM4","Srgn"
"Tm2d2",0.00183075342559464,1.54284882794667,0.08,0.061,1,"CM4","Tm2d2"
"Aifm1",0.0018462547844441,0.634923566769004,0.182,0.241,1,"CM4","Aifm1"
"Tsc22d1",0.00185096944047184,0.694631140769971,0.199,0.265,1,"CM4","Tsc22d1"
"Mettl23",0.00185259477328459,0.747452936609607,0.081,0.112,1,"CM4","Mettl23"
"Tceanc",0.00185903135272945,0.130126671091629,0.009,0.02,1,"CM4","Tceanc"
"Entpd7",0.00185911249438899,0.150295333164806,0.014,0.027,1,"CM4","Entpd7"
"Nova2",0.00186292813455744,2.31168777955279,0.026,0.015,1,"CM4","Nova2"
"Cpt1b",0.00186526487790274,1.07528811685282,0.356,0.412,1,"CM4","Cpt1b"
"Lrrc411",0.00186941472182115,0.671549403666396,0.07,0.098,1,"CM4","Lrrc41"
"Pdk1",0.00187050776126291,0.642291934600504,0.161,0.211,1,"CM4","Pdk1"
"Sac3d1",0.00187299808133899,1.70639899757606,0.042,0.028,1,"CM4","Sac3d1"
"Bcr",0.00187925654271385,0.219813570604483,0.024,0.041,1,"CM4","Bcr"
"Atf5",0.00188815462788005,1.80912761295966,0.038,0.025,1,"CM4","Atf5"
"Cript",0.00189001323135578,1.488076380906,0.146,0.127,1,"CM4","Cript"
"Hist1h4h",0.00189114504365592,1.69853922044363,0.072,0.054,1,"CM4","Hist1h4h"
"Pgm3",0.00189706921564769,0.301930385436232,0.017,0.032,1,"CM4","Pgm3"
"6430548M08Rik",0.00189978537977022,0.290428121902971,0.017,0.032,1,"CM4","6430548M08Rik"
"Tmem9",0.00190442139990374,0.79368232201919,0.03,0.048,1,"CM4","Tmem9"
"Haus31",0.00190921012266174,0.269947886894889,0.025,0.042,1,"CM4","Haus3"
"Cdk2ap2",0.00193111361478099,1.71641343090758,0.063,0.046,1,"CM4","Cdk2ap2"
"Arhgap191",0.00193187998265123,0.147824568980429,0.018,0.033,1,"CM4","Arhgap19"
"Lratd2",0.00193489234414628,2.9497197830812,0.01,0.004,1,"CM4","Lratd2"
"Polr2b",0.00195100313140465,1.36903300095308,0.102,0.082,1,"CM4","Polr2b"
"Adgre1",0.00195516461429921,2.42133969123712,0.015,0.007,1,"CM4","Adgre1"
"Copz2",0.00196033541945753,1.48774078791656,0.114,0.094,1,"CM4","Copz2"
"Kcnk2",0.00196418102344945,1.71541273177463,0.031,0.019,1,"CM4","Kcnk2"
"Rpn1",0.00196794477517055,1.52423575802476,0.126,0.107,1,"CM4","Rpn1"
"Ddx201",0.00197642040754645,0.456348058680114,0.026,0.043,1,"CM4","Ddx20"
"Ssbp4",0.00198269837025281,1.58430558901452,0.065,0.047,1,"CM4","Ssbp4"
"Med19",0.00199594036311173,1.84346371239241,0.068,0.051,1,"CM4","Med19"
"Eif4ebp3",0.00200411352960909,0.696274992062038,0.015,0.028,1,"CM4","Eif4ebp3"
"Tcf31",0.00200796232341663,0.680918361652821,0.073,0.102,1,"CM4","Tcf3"
"Slc51a1",0.00201507995202481,0.257976612162536,0.008,0.019,1,"CM4","Slc51a"
"Fdx1",0.00203435370978989,1.33055395619494,0.205,0.197,1,"CM4","Fdx1"
"Tsg101",0.00204542860525633,0.756953620819431,0.158,0.213,1,"CM4","Tsg101"
"Chst12",0.00204602178981341,2.46223341214239,0.01,0.004,1,"CM4","Chst12"
"Cpa3",0.00204908840286064,2.27719251847342,0.02,0.011,1,"CM4","Cpa3"
"Paip2b",0.00205146148477577,0.792685828135566,0.059,0.085,1,"CM4","Paip2b"
"Sf3b6",0.0020542189886343,1.31905972201609,0.193,0.18,1,"CM4","Sf3b6"
"Srp68",0.00206092098374513,0.753984704002583,0.07,0.098,1,"CM4","Srp68"
"C1qtnf2",0.00206182036008126,1.9824235646002,0.023,0.012,1,"CM4","C1qtnf2"
"Vash1",0.00206333082068716,2.41089609219894,0.014,0.006,1,"CM4","Vash1"
"Chmp4b",0.00207166921700217,1.39838927065738,0.17,0.155,1,"CM4","Chmp4b"
"Lmnb11",0.00207313740507148,0.726706403622878,0.164,0.218,1,"CM4","Lmnb1"
"Gm15564",0.00209520572166379,1.53024259545307,0.133,0.115,1,"CM4","Gm15564"
"Gfra2",0.00210234520605877,2.16710472513396,0.018,0.009,1,"CM4","Gfra2"
"Rad511",0.002104952103074,0.877363756174764,0.04,0.061,1,"CM4","Rad51"
"Mrc1",0.00210987338846476,2.09748480403241,0.03,0.018,1,"CM4","Mrc1"
"Zfp84",0.00212002216264495,0.278014635797725,0.021,0.037,1,"CM4","Zfp84"
"Fam173a",0.00212430469064828,0.63367970086202,0.089,0.122,1,"CM4","Fam173a"
"Gata2",0.00212543976112946,2.41052035788614,0.011,0.004,1,"CM4","Gata2"
"Aimp2",0.00213077211703895,1.46484994163515,0.082,0.063,1,"CM4","Aimp2"
"Pttg1ip",0.00213172241028977,1.39517100785039,0.093,0.074,1,"CM4","Pttg1ip"
"Ccdc251",0.00213264874005637,0.643154244778194,0.061,0.087,1,"CM4","Ccdc25"
"Mrpl50",0.00214146974789864,1.52998735775948,0.114,0.095,1,"CM4","Mrpl50"
"Coprs",0.00214152869443278,1.64259176977583,0.052,0.037,1,"CM4","Coprs"
"Ifi27l2a",0.00214473326169225,1.81813356748471,0.05,0.035,1,"CM4","Ifi27l2a"
"Tinagl1",0.00214944651984836,1.63604207567631,0.075,0.057,1,"CM4","Tinagl1"
"Ttc9",0.00216899502623982,1.99266386959189,0.013,0.006,1,"CM4","Ttc9"
"Coro1a",0.00217070414697328,2.51767535912601,0.017,0.009,1,"CM4","Coro1a"
"Rtn1",0.00218255098834041,2.04931072721626,0.018,0.009,1,"CM4","Rtn1"
"Melk1",0.00220050853030873,0.391547933734573,0.037,0.056,1,"CM4","Melk"
"Pigx",0.00220233962170383,0.644005720759953,0.048,0.071,1,"CM4","Pigx"
